place,id,year,latitude,longitude,mag
Kuril Islands,usp00050sq,1991,45.533,151.021,7.6
near the west coast of Colombia,usp0004zbt,1991,4.554,-77.442,7.2
Solomon Islands,usp0004xtq,1991,-9.094,158.442,7.2
Fiji region,usp0004x7f,1991,-20.878,-178.591,7
"Brookings, Oregon",nc228064,1991,41.679,-125.856,7
central Peru,usp0004tuc,1991,-13.108,-72.187,7
"Santiago Del Estero, Argentina",usp0004taw,1991,-26.802,-63.349,7.3
"Minahasa, Sulawesi, Indonesia",usp0004t6g,1991,1.196,122.787,7.5
Fiji region,usp0004sq2,1991,-20.252,-176.218,7
Alaska Peninsula,usp0004s9h,1991,54.567,-161.606,7
"Minahasa, Sulawesi, Indonesia",usp0004ru5,1991,1.156,122.957,7
Georgia (Sak'art'velo),usp0004qza,1991,42.453,43.673,7
Costa Rica,usp0004qpg,1991,9.685,-83.073,7.6
northern Peru,usp0004pyn,1991,-5.982,-77.094,7.1
"Mindanao, Philippines",usp0004n2a,1991,8.87,126.48,7
Myanmar,usp0004k8g,1991,23.613,95.901,7
"New Britain region, Papua New Guinea",usp0004k00,1990,-5.097,150.967,7.5
"Komandorskiye Ostrova, Russia region",usp0004gkj,1990,53.452,169.871,7.1
Peru-Brazil border region,usp0004fv5,1990,-10.97,-70.776,7
Vanuatu,usp0004dad,1990,-19.435,169.132,7.1
Vanuatu,usp0004cm6,1990,-15.355,167.464,7.2
"Luzon, Philippines",usp0004bxs,1990,15.679,121.172,7.7
northern Iran,usp0004arq,1990,36.957,49.409,7.4
"Panay, Philippines",usp0004ag6,1990,11.76,121.899,7.1
Romania,usp00049yk,1990,45.841,26.668,7
Flores Sea,usp00049qg,1990,-7.363,120.363,7.1
Sudan,usp00049qe,1990,5.358,31.848,7.1
Sudan,usp00049hf,1990,5.121,32.145,7.2
"Tatar Strait, Russia",usp000496v,1990,49.037,141.847,7.2
"Minahasa, Sulawesi, Indonesia",usp000482z,1990,1.186,122.857,7.8
Mariana Islands region,usp00047gj,1990,15.125,147.596,7.6
Costa Rica,usp0004720,1990,9.919,-84.808,7.3
Vanuatu,usp000467e,1990,-18.318,168.063,7.1
south of the Fiji Islands,usp000464d,1990,-22.122,175.163,7.6
"Mindanao, Philippines",usp000433j,1989,8.337,126.729,7.6
"eastern New Guinea region, Papua New Guinea",usp00042ug,1989,-6.436,146.383,7.1
"near the east coast of Honshu, Japan",usp00041kg,1989,39.837,142.76,7.4
south of Alaska,usp0003z7h,1989,55.543,-156.835,7.1
Macquarie Island region,official19890523105446320_10,1989,-52.341,160.568,8.02
"Kermadec Islands, New Zealand",usp0003v79,1989,-30.523,-178.414,7
"Acre, Brazil",usp0003uxu,1989,-8.281,-71.381,7.1
Molucca Sea,usp0003rqq,1989,2.305,126.76,7.1
Myanmar-China border region,usp0003nks,1988,22.789,99.611,7.7
Tonga region,usp0003mmh,1988,-18.771,-172.415,7.1
Solomon Islands,usp0003jtm,1988,-10.366,160.819,7.6
Myanmar,usp0003jpw,1988,25.149,95.127,7.3
"Kepulauan Aru region, Indonesia",usp0003j6r,1988,-6.081,133.667,7
"New Britain region, Papua New Guinea",usp0003j4t,1988,-6.526,152.779,7
near the coast of southern Peru,usp0003ezg,1988,-17.192,-72.305,7.1
Gulf of Alaska,usp0003dnb,1988,56.953,-143.032,7.8
