year,earth,earth location,shot,bomb,bomb2
1955,4.5,Nevada,Wasp,3.214394451,3.2
1955,4.6,Nevada,Moth,3.415081114,3.4
1955,4.8,Nevada,Tesla,3.777793144,3.8
1955,4.59,"Brawley, CA",Turk,4.303373421,4.3
1955,5.26,"Brawley, CA",Hornet,3.615767778,3.6
1955,4.38,"Brawley, CA",Bee,3.816454442,3.8
1955,5.31,"Maneadero, B.C., MX",Ess,3.214394451,3.2
1955,4.4,"Arvin, CA",Apple-1,3.978479808,4
1955,5.5,Nevada,Wasp Prime,3.532475287,3.5
1955,4.87,"Mendota, CA",HA (High Altitude),3.532475287,3.5
1955,4.6,Nevada,Post,3.415081114,3.4
1955,5.4,"San Francisco Bay area, California",MET (Military Effects T,4.109342904,4.1
1955,4.5,Nevada,Apple-2,4.189326449,4.2
1955,5.5,"San Francisco Bay area, California",Wigwam,4.199141954,4.2
1955,4.5,Northern California,Zucchini,4.179166471,4.2
,4.64,"Maneadero, B.C., MX",,,
,5.2,Nevada,,,
,4.48,"Bodfish, CA",,,
,5,Nevada,,,
,5.2,Nevada,,,
,5.7,"Baja California Sur, Mexico",,,
,4.5,Nevada,,,
,4.5,Nevada,,,
,4.51,"Lake Isabella, CA",,,
,4.5,Nevada,,,
,4.6,Northern California,,,
,4.89,"Hermosillo, B.C., MX",,,
,4.3,Illinois,,,
,4.7,Nevada,,,
,4.6,Nevada,,,
,4.5,Nevada,,,
,4.5,Nevada,,,
,4.77,"Lake Nacimiento, CA",,,
,4.26,"Maneadero, B.C., MX",,,
,4.8,Nevada,,,
,4.53,"Ensenada, B.C., MX",,,
,4.4,"Arvin, CA",,,
,4.7,Nevada,,,
,4.31," Desert Center, CA",,,
,4.7,Nevada,,,
,4.4,Missouri,,,
,4.6,Nevada,,,
,4.28,"Grapevine, CA",,,
,4.7,Nevada,,,
,5,Nevada,,,
,5.1,Nevada,,,
