year,earth,earth location,shot,bomb
1956,5.1,Central California,Project 56 No. 4,1.881061117
1956,5,Central California,Lacrosse,4.282434445
1956,4.3,Missouri,Cherokee,5.600916848
1956,4.7,Nevada,Zuni,5.57710648
1956,5,"28km NE of King City, CA",Yuma,2.733563518
1956,4.36,"Maneadero, B.C., MX",Erie,3.99651863
1956,4.8,"Maneadero, B.C., MX",Seminole,3.972208162
1956,4.3,"Maneadero, B.C., MX",Flathead,4.922589694
1956,5.02,"Maneadero, B.C., MX",Blackfoot,3.816454442
1956,4.27,"Maneadero, B.C., MX",Kickapoo,3.329851963
1956,4.55,"Maneadero, B.C., MX",Osage,3.368027065
1956,5.1,Nevada,Inca,4.002290176
1956,4.7,Central California,Dakota,5.241989574
1956,4.88,"Maneadero, B.C., MX",Mohawk,4.918596118
1956,4.38,"Maneadero, B.C., MX",Apache,5.392508936
1956,4.9,Northern California,Navajo,5.64986946
1956,4.9,Nevada,Tewa,5.680374453
1956,4.56,"Maneadero, B.C., MX",Huron,4.813021123
1956,4.33,"Maneadero, B.C., MX",,
1956,5.5,"Sonora-Sinaloa, Mexico",,
1956,4.55,"Maneadero, B.C., MX",,
1956,4.68,"Big Bear City, CA",,
1956,4.61,"Maneadero, B.C., MX",,
1956,4.32,"Maneadero, B.C., MX",,
1956,4.76,"Alberto Oviedo Mota, B.C., MX",,
1956,4.4,"Alberto Oviedo Mota, B.C., MX",,
1956,4.4,Northern California,,
1956,4.3,"Alberto Oviedo Mota, B.C., MX",,
1956,4.62,"Alberto Oviedo Mota, B.C., MX",,
1956,4.63,"Alberto Oviedo Mota, B.C., MX",,
1956,4.37,"Grapevine, CA",,
1956,4.54,"Alberto Oviedo Mota, B.C., MX",,
1956,4.37,"Big Bear City, CA",,
1956,4.7,"Big Bear City, CA",,
1956,4.28,"Maneadero, B.C., MX",,
1956,4.42,"Maneadero, B.C., MX",,
1956,4.34,"Maneadero, B.C., MX",,
1956,4.31,"Maneadero, B.C., MX",,
1956,4.64,"Maneadero, B.C., MX",,
1956,4.7,"Alberto Oviedo Mota, B.C., MX",,
1956,4.57,"Maneadero, B.C., MX",,
1956,5.09,"Maneadero, B.C., MX",,
1956,4.5,Northern California,,
1956,4.76,"Maneadero, B.C., MX",,
1956,4.85,"Maneadero, B.C., MX",,
1956,4.6,Nevada,,
1956,4.72,"Maneadero, B.C., MX",,
1956,4.26,"Maneadero, B.C., MX",,
1956,4.29,"Maneadero, B.C., MX",,
1956,4.31,"Maneadero, B.C., MX",,
1956,5.04,"Maneadero, B.C., MX",,
1956,4.81,"Maneadero, B.C., MX",,
1956,4.63,"Maneadero, B.C., MX",,
1956,4.71,"Maneadero, B.C., MX",,
1956,4.5,"Alberto Oviedo Mota, B.C., MX",,
1956,4.62,"Alberto Oviedo Mota, B.C., MX",,
1956,4.86,"Maneadero, B.C., MX",,
1956,4.33," Alberto Oviedo Mota, B.C., MX",,
1956,4.9,"Alberto Oviedo Mota, B.C., MX",,
1956,4.67,"Maneadero, B.C., MX",,
1956,4.81,"Maneadero, B.C., MX",,
1956,4.72,"Maneadero, B.C., MX",,
1956,4.55," Alberto Oviedo Mota, B.C., MX",,
1956,4.46," Alberto Oviedo Mota, B.C., MX",,
1956,4.55," Alberto Oviedo Mota, B.C., MX",,
1956,4.7," Alberto Oviedo Mota, B.C., MX",,
1956,4.5," Alberto Oviedo Mota, B.C., MX",,
1956,4.6," Alberto Oviedo Mota, B.C., MX",,
1956,4.63," Alberto Oviedo Mota, B.C., MX",,
1956,4.83," Alberto Oviedo Mota, B.C., MX",,
1956,4.7," Alberto Oviedo Mota, B.C., MX",,
1956,4.5," Alberto Oviedo Mota, B.C., MX",,
1956,4.5," Alberto Oviedo Mota, B.C., MX",,
1956,5.06,"Maneadero, B.C., MX",,
1956,4.94,"Maneadero, B.C., MX",,
1956,4.57,"Maneadero, B.C., MX",,
1956,4.9,"Alberto Oviedo Mota, B.C., MX",,
1956,4.5,"Alberto Oviedo Mota, B.C., MX",,
1956,5.06,"Alberto Oviedo Mota, B.C., MX",,
1956,5.21,"Alberto Oviedo Mota, B.C., MX",,
1956,4.6,"Alberto Oviedo Mota, B.C., MX",,
1956,4.5,"Alberto Oviedo Mota, B.C., MX",,
1956,4.6,"Alberto Oviedo Mota, B.C., MX",,
1956,4.5,"Alberto Oviedo Mota, B.C., MX",,
1956,5.33,"Maneadero, B.C., MX",,
1956,4.84,"Maneadero, B.C., MX",,
1956,4.7,"Alberto Oviedo Mota, B.C., MX",,
1956,4.56,"Maneadero, B.C., MX",,
1956,4.64,"Maneadero, B.C., MX",,
1956,4.53,"Maneadero, B.C., MX",,
1956,5.09,"Alberto Oviedo Mota, B.C., MX",,
1956,4.26,"Maneadero, B.C., MX",,
1956,4.41,"Maneadero, B.C., MX",,
1956,5.37,"Maneadero, B.C., MX",,
1956,4.89,"Maneadero, B.C., MX",,
1956,4.94,"Maneadero, B.C., MX",,
1956,4.96,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,5.43,"Maneadero, B.C., MX",,
1956,4.78,"Maneadero, B.C., MX",,
1956,4.77,"Maneadero, B.C., MX",,
1956,4.6,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.77,"Maneadero, B.C., MX",,
1956,4.6,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.6,"Maneadero, B.C., MX",,
1956,5.02,"Alberto Oviedo Mota, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.32,"Maneadero, B.C., MX",,
1956,4.41,"Maneadero, B.C., MX",,
1956,4.5,"Maneadero, B.C., MX",,
1956,4.8,"Maneadero, B.C., MX",,
1956,5.56," Alberto Oviedo Mota, B.C., MX",,
1956,4.68,"Maneadero, B.C., MX",,
1956,4.6,"Maneadero, B.C., MX",,
1956,4.74,"Maneadero, B.C., MX",,
1956,4.8,"Maneadero, B.C., MX",,
1956,5.58,"Maneadero, B.C., MX",,
1956,5.89,"Maneadero, B.C., MX",,
1956,4.41,"Maneadero, B.C., MX",,
1956,4.73,"Maneadero, B.C., MX",,
1956,4.55,"Maneadero, B.C., MX",,
1956,5.36,"Maneadero, B.C., MX",,
1956,4.47,"Maneadero, B.C., MX",,
1956,4.7,"Maneadero, B.C., MX",,
1956,4.91,"Maneadero, B.C., MX",,
1956,4.37,"Maneadero, B.C., MX",,
1956,5.6,"Maneadero, B.C., MX",,
1956,4.56,"Maneadero, B.C., MX",,
1956,4.38,"Castaic, CA",,
1956,4.4,Kansas,,
1956,4.64,"Ocotillo, CA",,
1956,4.71,"Trabuco Canyon, CA",,
