Shot Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
Apache,,,3.214394451,,3.214394451,,,,,,
Apple-1,,,,,,,,5.392508936,,,
Apple-2,,,,,,,3.978479808,,,,
Argus I,,,,,,,4.189326449,,,,
Argus II,,,,,,,,,,3.331788623,
Argus III,,,,,,,,,,3.331788623,
Aspen,,,,,,,,,,3.331788623,
Badger,,,,,,,,,,4.883588239,
Baker,,,,,4.122213008,,,,,,
Baker-2,,,3.816454442,,3.214394451,,,,,,
Bee,,,3.816454442,,,,,,,,
Bernalillo,,,,,,,3.816454442,,,,
Blackfoot,,,,,,,,,,1.99845529,
Blanca,,,,,,,,3.816454442,,,
Bravo,,,,,,,,,,4.109342904,
Butternut,,,,,,5.99845529,,,,,
Cactus,,,,,,,,,,4.486717796,
Catron,,,,,,,,,,4.051242787,
Cedar,,,,,,,,,,2.09587398,
Ceres,,,,,,,,,,4.776009571,
Charlie,,,,,,,,,,1.111126477,
Chavez,,,3.978479808,,4.20863558,,,,,,
Cherokee,,,,,,,,,,1.066495284,
Climax,,,,,,,,5.600916848,,,
Colfax,,,,,4.404614341,,,,,,
Dakota,,,,,,,,,,1.707969577,
De Baca,,,,,,,,5.241989574,,,
Dixie,,,,,,,,,,3.442676238,
Dog,,,,,3.908656241,,,,,,
Dogwood,,,4.486717796,,4.066896851,,,,,,
Dona Ana,,,,,,,,,,4.946921455,
Easy,,,,,,,,,,2.259862267,
Eddy,,,4.329126356,,3.933848615,,,,,,
Elder,,,,,,,,,,2.493779845,
Encore,,,,,,,,,,5.177382899,
Erie,,,,,4.16863696,,,,,,
Ess,,,,,,,,3.99651863,,,
Evans,,,,,,,3.214394451,,,,
Fig,,,,,,,,,,2.374636244,
Fir,,,,,,,,,,2.081747781,
Flathead,,,,,,,,,,5.303420389,
Fox,,,,,,,,4.922589694,,,
Ganymede,,,4.109342904,,3.908656241,,,,,,
George,,,,,,,,,,0,
Grable,,,4.782516129,,3.99845529,,,,,,
HA (High Altitude),,,,,3.99845529,,,,,,
Hamilton,,,,,,,3.532475287,,,,
Harry,,,,,,,,,,1.267181948,
Hickory,,,,,4.217827769,,,,,,
Hidalgo,,,,,,,,,,3.978479808,
Holly,,,,,,,,,,2.472054934,
Hornet,,,,,,,,,,3.728295792,
How,,,,,,,3.615767778,,,,
Humboldt,,,,,3.978479808,,,,,,
Huron,,,,,,,,,,1.809124186,
Inca,,,,,,,,4.813021123,,,
Item,,,,,,,,4.002290176,,,
Juniper,,,4.319735382,,,,,,,,
Juno,,,,,,,,,,4.423003355,
Kickapoo,,,,,,,,,,1.368027065,
King,,,,,,,,3.329851963,,,
Koa,,,,5.013707787,,,,,,,
Koon,,,,,,,,,,5.305541495,
Lacrosse,,,,,,4.575322907,,,,,
Lea,,,,,,,,4.282434445,,,
Linden,,,,,,,,,,3.311813141,
Logan,,,,,,,,,,3.908656241,
Luna,,,,,,,,,,3.680374453,
Magnolia,,,,,,,,,,1.331788623,
Maple,,,,,,,,,,4.384977688,
Mars,,,,,,,,,,4.76664752,
Mazama,,,,,,,,,,1.957023352,
Mercury,,,,,,,,,,0,
MET (Military Effects T,,,,,,,,,,1.881061117,
Mike,,,,,,,4.109342904,,,,
Mohawk,,,,5.892416677,,,,,,,
Mora,,,,,,,,4.918596118,,,
Moth,,,,,,,,,,3.415081114,
Navajo,,,,,,,3.415081114,,,,
Nectar,,,,,,,,5.64986946,,,
Neptune,,,,,,5.36631892,,,,,
Nutmeg,,,,,,,,,,2.588193011,
Oak,,,,,,,,,,4.147510265,
Oberon,,,,,,,,,,5.847321122,
Olive,,,,,,,,,,0,
Orange,,,,,,,,,,4.751295364,
Osage,,,,,,,,,,5.600916848,
Otero,,,,,,,,3.368027065,,,
Pine,,,,,,,,,,2.267583515,
Pisonia,,,,,,,,,,5.415081114,
Poplar,,,,,,,,,,4.818754571,
Post,,,,,,,,,,5.86004975,
Project 56 No. 4,,,,,,,3.415081114,,,,
Quay,,,,,,,,1.881061117,,,
Quince,,,,,,,,,,2.479479178,
Ray,,,,,,,,,,0,
Redwood,,,,,2.748414448,,,,,,
Rio Arriba,,,,,,,,,,4.957659261,
Romeo,,,,,,,,,,2.51722279,
Rose,,,,,,5.908656241,,,,,
Rushmore,,,,,,,,,,3.99845529,
San Juan,,,,,,,,,,2.730499683,
Sanford,,,,,,,,,,0,
Santa Fe,,,,,,,,,,3.674525171,
Scaevola,,,,,,,,,,3.290356685,
Seminole,,,,,,,,,,0,
Sequoia,,,,,,,,3.972208162,,,
shot,,,,,,,,,,3.691730013,
Simon,,,,,,,,,,,0
Socorro,,,,,4.303373421,,,,,,
Sugar,,,,,,,,,,3.733161951,
Sycamore,,,3.267181948,,,,,,,,
Tamalpais,,,,,,,,,,4.523586335,
Teak,,,,,,,,,,2.452616115,
Tesla,,,,,,,,,,5.600916848,
Tewa,,,,,,,3.777793144,,,,
Titania,,,,,,,,5.680374453,,,
Tobacco,,,,,,,,,,0.7484144477,
Turk,,,,,,,,,,3.92403311,
Umbrella,,,,,,,4.303373421,,,,
Uncle,,,,,,,,,,3.816454442,
Union,,,3.267181948,,,,,,,,
Uranus,,,,,,5.773627178,,,,,
Valencia,,,,,,,,,,1.013707787,
Venus,,,,,,,,,,1.415081114,
Vesta,,,,,,,,,,1.013707787,
Wahoo,,,,,,,,,,2.134535278,
Walnut,,,,,,,,,,3.850556124,
Wasp,,,,,,,,,,5.321973119,
Wasp Prime,,,,,,,3.214394451,,,,
Wigwam,,,,,,,3.532475287,,,,
Wrangell,,,,,,,4.199141954,,,,
Yankee,,,,,,,,,,2.588193011,
Yellowwood,,,,,,5.967950296,,,,,
Yucca,,,,,,,,,,4.893403744,
Yuma,,,,,,,,,,3.368027065,
Zucchini,,,,,,,,2.733563518,,,
Zuni,,,,,,,4.179166471,,,,
,,,,,,,,5.57710648,,,
