country,Happiness,Rank Democracy,Democracy,Process,Function,Participation,Culture,Liberties,Type
Afghanistan,3.632,143,2.97,2.92,1.14,4.44,2.5,3.82,4
Albania,4.586,76,5.98,7,4.71,5.56,5,7.65,3
Algeria,5.295,126,3.5,2.58,2.21,3.89,5,3.82,4
Angola,3.795,123,3.62,1.75,2.86,5.56,5,2.94,4
Argentina,6.388,47,7.02,9.17,5.36,6.11,6.25,8.24,2
Armenia,4.321,103,4.79,5.67,4.64,5.56,2.5,5.59,3
Australia,7.272,9,9.09,10,8.93,7.78,8.75,10,1
Austria,7.139,16,8.29,9.58,7.86,8.33,6.88,8.82,1
Azerbaijan,5.201,149,2.65,0.5,2.14,3.33,3.75,3.53,4
Bahrain,6.105,148,2.71,0.83,3.21,2.78,4.38,2.35,4
Bangladesh,4.5,88,5.57,7.83,5.07,5.56,4.38,5,3
Belarus,5.483,137,3.13,0.92,2.86,3.89,5.63,2.35,4
Belgium,6.927,31,7.78,9.58,8.93,5,6.88,8.53,2
Benin,4.141,81,5.74,6.5,5.71,5,5.63,5.88,3
Bhutan,5.082,94,5.3,8.75,6.79,2.78,4.38,3.82,3
Bolivia,5.752,83,5.7,7.5,4.64,5.56,3.75,7.06,3
Bosnia and Hercegovina,5.129,101,4.98,6.5,2.93,5.56,3.75,6.18,3
Botswana,3.59,28,7.81,9.17,7.14,6.11,7.5,9.12,2
Brazil,6.419,50,6.97,9.58,5.36,6.67,5,8.24,2
Bulgaria,4.933,46,7.03,9.17,6.43,7.22,4.38,7.94,2
Burkina Faso,4.424,104,4.75,4.42,4.29,4.44,5.63,5,3
Burundi,2.905,153,2.33,0,0.43,3.89,5,2.35,4
Cabo Verde,0,26,7.88,9.17,7.86,6.67,6.88,8.82,2
Cambodia,4.433,125,3.59,1.33,5,2.78,5.63,3.24,4
Cameroon,4.975,132,3.28,3.17,2.86,3.33,4.38,2.65,4
Canada,7.328,6,9.15,9.58,9.64,7.78,8.75,10,1
Central African Republic,3.083,164,1.52,2.25,0,1.11,1.88,2.35,4
Chad,4.301,163,1.61,0,0,1.67,3.75,2.65,4
Chile,6.476,23,7.97,9.58,8.57,4.44,8.13,9.12,2
China,5.246,130,3.32,0,5,3.89,6.25,1.47,4
Colombia,6.26,51,6.96,9.17,6.79,5,5.63,8.24,2
Comoros,0,121,3.71,4.33,2.21,4.44,3.75,3.82,4
Congo,4.245,131,3.31,3.17,2.5,3.89,3.75,3.24,4
Costa Rica,7.072,20,8.07,9.58,7.5,6.67,7.5,9.12,1
Côte d’Ivoire,0,113,4.15,4.83,2.86,3.33,5.63,4.12,3
Croatia,5.321,60,6.57,9.17,6.07,5.56,5,7.06,2
Cuba,0,142,3,1.08,3.57,3.33,4.38,2.65,4
Cyprus,5.762,35,7.59,9.17,6.43,6.67,6.88,8.82,2
Czech Republic,6.711,34,7.69,9.58,6.79,6.67,6.88,8.53,2
Democratic Republic of Congo,4.245,165,1.49,0.5,0.71,2.22,3.13,0.88,4
Denmark,7.555,5,9.22,10,9.29,8.33,9.38,9.12,1
Djibouti,0,146,2.87,0.42,1.79,3.89,5.63,2.65,4
Dominican Republic,5.302,61,6.54,9.17,5.36,6.11,5,7.06,2
Ecuador,5.973,68,6.27,8.75,5.36,6.11,4.38,6.76,2
Egypt,4.419,127,3.36,3.58,3.21,3.33,3.75,2.94,4
El Salvador,6.167,77,5.96,9.17,4.29,5.56,3.75,7.06,3
Equatorial Guinea,0,161,1.92,0,0.43,3.33,4.38,1.47,4
Eritrea,0,151,2.37,0,2.14,1.67,6.88,1.18,4
Estonia,5.739,23,7.97,9.58,8.21,6.67,6.88,8.53,2
Ethiopia,4.35,128,3.35,0,3.57,5.56,5,2.65,4
Fiji,0,79,5.85,6.58,5.36,6.11,5.63,5.59,3
Finland,7.632,8,9.14,10,8.93,8.33,8.75,9.71,1
France,7.632,29,7.8,9.58,7.5,7.78,5.63,8.53,2
Gabon,6.489,124,3.61,2.58,2.21,4.44,5,3.82,4
Gambia,4.758,111,4.31,4.48,4.29,3.33,5.63,3.82,3
Georgia,4.34,89,5.5,7.83,3.57,6.11,4.38,5.59,3
Germany,6.965,13,8.68,9.58,8.57,8.33,7.5,9.41,1
Ghana,4.657,57,6.63,8.33,5.71,6.67,6.25,6.18,2
Greece,5.358,39,7.29,9.58,5.36,6.11,6.88,8.53,2
Guatemala,6.382,87,5.6,7.92,5.36,3.89,4.38,6.47,3
Guinea,3.964,136,3.14,3.5,0.43,4.44,4.38,2.94,4
Guinea-Bissau,3.964,157,1.98,1.67,0,2.78,3.13,2.35,4
Guyana,0,54,6.67,9.17,5.71,6.11,5,7.35,2
