country,siffra,cowcode,ccode_qog,year,fhadd,revpol2,fhpol,ifhpol,regime1ny,regime1nyrobust,regimeny,regimenyrobust,mon,monrobust,mil,milrobust,mul,mulrobust,onep,oneprobust,nop,noprobust,partsz,partsz1,yrindep,yrterm,regstart,regstartrobust,lagregime1ny,lagregime1nyrobust,lagregimeny,lagregimenyrobust,regnumb1ny,regnumb1nyrobust,regnumbny2,regnumbny2robust,totdur1ny,totdur1nyrobust,totdurny2,totdurny2robust,persagg1ny,persagg1nyrobust,persaggny2,persaggny2robust,tenure1ny,tenure1nyrobust,tenureny2,tenureny2robust,chaexerv
Afghanistan,1,700,4,1972,4.166666508,1.5,2.833333254,2.833333254,Monarchy,1,no-party monarchy,23,1,1,0,0,0,0,0,0,1,1,,,1919,2005,1965,1965,Monarchy,,no-party monarchy,,1,1,1,1,8,8,8,8,0,0,0,0,1,1,1,1,0
Afghanistan,1,700,4,1973,0.8333333135,1.5,1.166666627,1.166666627,Military,2,military trad,4,0,0,1,1,0,0,0,0,0,0,,,1919,2010,,,Monarchy,Monarchy,no-party monarchy,23,2,2,2,2,5,5,5,5,0.200000003,0.200000003,0.200000003,0.200000003,5,5,5,5,1
Afghanistan,1,700,4,1974,0.8333333135,1.5,1.166666627,1.166666627,Military,2,military trad,4,0,0,1,1,0,0,0,0,0,0,,,1919,2010,,,Monarchy,Monarchy,no-party monarchy,23,2,2,2,2,5,5,5,5,0.200000003,0.200000003,0.200000003,0.200000003,5,5,5,5,0
Afghanistan,1,700,4,1975,0.8333333135,1.5,1.166666627,1.166666627,Military,2,military trad,4,0,0,1,1,0,0,0,0,0,0,,,1919,2010,,,Monarchy,Monarchy,no-party monarchy,23,2,2,2,2,5,5,5,5,0.200000003,0.200000003,0.200000003,0.200000003,5,5,5,5,0
Afghanistan,1,700,4,1976,0.8333333135,1.5,1.166666627,1.166666627,Military,2,military trad,4,0,0,1,1,0,0,0,0,0,0,,,1919,2010,,,Monarchy,Monarchy,no-party monarchy,23,2,2,2,2,5,5,5,5,0.200000003,0.200000003,0.200000003,0.200000003,5,5,5,5,0
Afghanistan,1,700,4,1977,1.666666627,1.5,1.583333254,1.583333254,Military,2,military trad,4,0,0,1,1,0,0,0,0,0,0,,,1919,2010,,,Monarchy,Monarchy,no-party monarchy,23,2,2,2,2,5,5,5,5,0.200000003,0.200000003,0.200000003,0.200000003,5,5,5,5,0
Afghanistan,1,700,4,1978,0,5,2.5,2.5,Other,99,civil war,19,0,0,0,0,0,0,0,0,0,0,,,1919,2010,,,Military,Military,military trad,4,3,3,3,3,26,26,1,1,0.3076923192,0.3076923192,1,1,3.249999762,3.249999762,1,1,1
Afghanistan,1,700,4,1979,0,,,0.2642714679,Other,99,occupation,20,0,0,0,0,0,0,0,0,0,0,,,1919,2010,,,Military,Military,civil war,19,3,3,4,4,26,26,11,11,0.3076923192,0.3076923192,0.4545454681,0.4545454681,3.249999762,3.249999762,2.200000048,2.200000048,2
Afghanistan,1,700,4,1980,0,,,0.2642714679,Other,99,occupation,20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,,,Military,Military,civil war,19,3,3,4,4,26,26,11,11,0.3076923192,0.3076923192,0.4545454681,0.4545454681,3.249999762,3.249999762,2.200000048,2.200000048,0
Afghanistan,1,700,4,1981,0,,,0.2642714679,Other,99,occupation,20,0,0,0,0,0,0,0,0,0,0,1,1,1919,2010,,,Military,Military,civil war,19,3,3,4,4,26,26,11,11,0.3076923192,0.3076923192,0.4545454681,0.4545454681,3.249999762,3.249999762,2.200000048,2.200000048,0
